Filename,recording_key,date,collection,Time_of_day,Season,window_start_sec,SST_c,WSPD_mps,WDIR_deg,RMS,Floor,Dynamics,Click_Count,Click_Frequency,Event_Count,Mean_Duration,Max_Duration,centroid,bandwidth,rolloff,aci,ADI,entropy,band_100_500,band_500_1000,band_1000_2000,pwr_0100_0200,pwr_0200_0300,pwr_0300_0400,pwr_0400_0500,pwr_0500_0600,pwr_0600_0700,pwr_0700_0800,pwr_0800_0900,pwr_0900_1000,pwr_1000_1100,pwr_1100_1200,pwr_1200_1300,pwr_1300_1400,pwr_1400_1500,pwr_1500_1600,pwr_1600_1700,pwr_1700_1800,pwr_1800_1900,pwr_1900_2000,zcr_fullband,Lagodon rhomboides,Bairdiella chrysoura,Orthopristis chrysoptera,Leiostomus xanthurus,Archosargus probatocephalus,Cynoscion nebulosus,Sardine sp,Opsanus beta,Centropomus undecimalis,Ariopsis felis,Synodus foetens,Acanthostracion quadricornis,Bathygobius soporator,Menidia nan,Eucinostomus nan,Strongylura nan,Syngnathus nan,Mugil nan,Oligoplites saurus,Lutjanus griseus,Chilomycterus schoepfii,Chasmodes saburrae,Brevoortia sp,Gobiosoma nan,Achirus lineatus,Lucania parva,Diapterus auratus,Eugerres plumieri,Sarotherodon melanotheron,Microgobius gulosus,Haemulon plumierii,Chaetodipterus faber,Fundulus similis,Elops saurus,Floridichthys carpio,Myrophis punctatus,Selene vomer,Hippocampus zosterae,Sphyraena borealis,Hippocampus erectus,Short-Snouted Pipefish,Monacanthus ciliatus,Symphurus plagiusa,Prionotus scitulus,Mycteroperca microlepis,Sphoeroides nephelus,Prionotus tribulus,Hypanus sabinus,Stephanolepis hispida,Lutjanus synagris,Diplodus holbrookii,Pogonias cromis,Paralichthys albigutta,Fundulus grandis,Sciaenops ocellatus,Urophycis floridana,Menticirrhus saxatilis,Astroscopus y-graecum,Rhinoptera bonasus,Hypanus americanus,Aluterus schoepfii,Nicholsina usta,Calamus arctifrons,Hypanus say,Negaprion brevirostris,Hemirhamphus meeki,shannon_rare_no_anchoa,richness_rare_no_anchoa,total_abundance_no_anchoa
00-250527-2226.wav,2025-05-27 Night,2025-05-27,night,n,Spring,0,31.3,5.9,258,0.3686982989311218,-13.014932632446289,7.719805717468262,0,0.0,90,0.022595112118921644,0.07492063492063493,522.304883227734,348.89025199624524,892.6536896389212,79.96101379394531,2.173421542558021,0.5715919819417586,0.9431957006454468,0.03190474957227707,0.024899616837501526,0.0042790016159415245,0.22533349692821503,0.6195223927497864,0.09406076371669769,0.019628604874014854,0.007636985741555691,0.0018678762717172503,0.001146288588643074,0.0016249945620074868,0.002372420160099864,0.0016352463280782104,0.008090636692941189,0.009415416046977043,0.002129406901076436,0.00055904925102368,0.00016901259368751198,0.00035260317963548005,0.0001480025239288807,2.7822567062685266e-05,0.02481691189702023,401,58,46,9,18,2,1,3,2,1,1,2,1,27,85,3,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4307306965776865,10.68748920234785,677
00-250527-2226.wav,2025-05-27 Night,2025-05-27,night,n,Spring,10,31.3,5.9,258,0.36962080001831055,-13.145773887634277,8.116527557373047,0,0.0,88,0.02578437435580293,0.08562358276643992,523.6259661466869,349.16364481582053,896.6255913754351,76.31339263916016,2.173052070622073,0.5699131664193193,0.9458397626876831,0.031836047768592834,0.022324057295918465,0.0039829593151807785,0.2226257622241974,0.6239216327667236,0.09530944377183914,0.02000337652862072,0.0068987831473350525,0.0020294843707233667,0.0012541080359369516,0.001650296151638031,0.0019992890302091837,0.001408547512255609,0.00781598873436451,0.008511041291058064,0.0013906446984037757,0.0005789537681266665,0.0001734959805617109,0.00028613649192266166,0.00013409575331024826,2.5860595997073688e-05,0.024953853083609947,401,58,46,9,18,2,1,3,2,1,1,2,1,27,85,3,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4307306965776865,10.68748920234785,677
00-250527-2226.wav,2025-05-27 Night,2025-05-27,night,n,Spring,20,31.3,5.9,258,0.36137890815734863,-13.053384780883789,7.7034502029418945,2,777.8430313322315,81,0.023387923070462755,0.07492063492063493,527.9571937156952,353.3078591026568,916.7099246845997,82.33094787597656,2.157220613670756,0.5842909031630851,0.9250290989875793,0.033428218215703964,0.041542600840330124,0.003767043352127075,0.23486240208148956,0.5945843458175659,0.09181539714336395,0.018888181075453758,0.007854375056922436,0.0028249521274119616,0.0016165741253644228,0.002244133735075593,0.004243423230946064,0.0043798042461276054,0.016398880630731583,0.013498356565833092,0.0016825171187520027,0.0005558191332966089,0.0002828092547133565,0.0003543371567502618,0.00011875491327373311,2.7899877750314772e-05,0.02543031787331469,401,58,46,9,18,2,1,3,2,1,1,2,1,27,85,3,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4307306965776865,10.68748920234785,677
00-250527-2226.wav,2025-05-27 Night,2025-05-27,night,n,Spring,30,31.3,5.9,258,0.36068999767303467,-13.059514045715332,7.825906753540039,1,352.0787083066503,80,0.02100453514739229,0.053514739229024944,524.6849694655532,352.63413262531043,920.6318653929815,74.58899688720703,2.155528548993894,0.571939279015294,0.9423795342445374,0.03609125316143036,0.02152915671467781,0.004015658050775528,0.23754413425922394,0.6045132875442505,0.09630639106035233,0.022813983261585236,0.00846801046282053,0.0020959360990673304,0.0011896226787939668,0.0015236996114253998,0.0019724350422620773,0.0014543029246851802,0.00812306348234415,0.008161154575645924,0.001143258181400597,0.000340695318300277,0.00011093849752796814,0.00015250264550559223,5.919063914916478e-05,1.1616092706390191e-05,0.02532732904703647,401,58,46,9,18,2,1,3,2,1,1,2,1,27,85,3,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4307306965776865,10.68748920234785,677
00-250527-2226.wav,2025-05-27 Night,2025-05-27,night,n,Spring,40,31.3,5.9,258,0.37115931510925293,-13.204387664794922,8.07394790649414,4,839.5549245499142,95,0.02467311134980308,0.07492063492063493,520.5730314660142,348.14265303915164,892.229020899797,85.8697509765625,2.1435218233760476,0.5868019110598284,0.918938159942627,0.03073546476662159,0.05032646283507347,0.003924720920622349,0.2421346753835678,0.5894514322280884,0.08342728763818741,0.01943020150065422,0.006914648227393627,0.0016952648293226957,0.001132575678639114,0.0015627755783498287,0.0024651777930557728,0.0031136050820350647,0.017452800646424294,0.017212137579917908,0.003639519214630127,0.0022201496176421642,0.0011823226232081652,0.002242456655949354,0.0005526920431293547,0.00024560163728892803,0.024063169498104893,401,58,46,9,18,2,1,3,2,1,1,2,1,27,85,3,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4307306965776865,10.68748920234785,677
00-250527-2226.wav,2025-05-27 Night,2025-05-27,night,n,Spring,50,31.3,5.9,258,0.3606761395931244,-12.850504875183105,7.213302135467529,2,335.85686125279597,75,0.02026424792139078,0.06421768707482994,520.2772864428201,352.284436390706,910.8644843931264,73.30115509033203,2.143376033986505,0.5561573374525882,0.948570191860199,0.031845297664403915,0.01958455517888069,0.004443851765245199,0.24523472785949707,0.6140645146369934,0.08482708036899567,0.01898757927119732,0.008113817311823368,0.0019703726284205914,0.001259936485439539,0.0015135882422327995,0.0018363435519859195,0.0014550508931279182,0.006729504093527794,0.007849453948438168,0.00109565956518054,0.0002735207963269204,9.394334483658895e-05,0.00016725080786272883,7.362903124885634e-05,1.0200988981523551e-05,0.024085804404979226,401,58,46,9,18,2,1,3,2,1,1,2,1,27,85,3,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4307306965776865,10.68748920234785,677
00-250527-2226.wav,2025-05-27 Night,2025-05-27,night,n,Spring,60,31.3,5.9,258,0.3715737462043762,-13.208074569702148,8.28329849243164,3,564.8372801714678,92,0.02547766932860101,0.07492063492063493,522.8890002521429,351.522202607177,907.592037050464,84.8800277709961,2.163579689164831,0.5729928852552466,0.9341360330581665,0.03285255655646324,0.03301149606704712,0.003943566232919693,0.23233002424240112,0.6181489825248718,0.07971349358558655,0.017804158851504326,0.008301308378577232,0.0020025293342769146,0.0018694493919610977,0.0028751110658049583,0.003680821042507887,0.0036270914133638144,0.009468615986406803,0.011676747351884842,0.0014861325034871697,0.0006215823232196271,0.0009836031822487712,0.0010950731812044978,0.00028229065355844796,8.954455552157015e-05,0.024969697518421985,401,58,46,9,18,2,1,3,2,1,1,2,1,27,85,3,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4307306965776865,10.68748920234785,677
00-250527-2226.wav,2025-05-27 Night,2025-05-27,night,n,Spring,70,31.3,5.9,258,0.3679255247116089,-12.68217945098877,7.300530433654785,4,702.7399900053665,71,0.0229133531346811,0.07492063492063493,531.0205389246062,354.8719217296891,921.0565341321055,80.11454772949219,2.1666498875598665,0.5838609087029811,0.9261413216590881,0.032951150089502335,0.04090750589966774,0.005452708341181278,0.2341882884502411,0.5969860553741455,0.08951425552368164,0.018852408975362778,0.009019345045089722,0.0019087832188233733,0.0012668655253946781,0.0019037470920011401,0.0023012456949800253,0.0021407506428658962,0.013229487463831902,0.018063081428408623,0.00249344389885664,0.0005682204500772059,0.00040788701153360307,0.0011790519347414374,0.0004637637466657907,6.057684004190378e-05,0.025933944551268632,401,58,46,9,18,2,1,3,2,1,1,2,1,27,85,3,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4307306965776865,10.68748920234785,677
00-250527-2226.wav,2025-05-27 Night,2025-05-27,night,n,Spring,80,31.3,5.9,258,0.36584460735321045,-13.248224258422852,8.112743377685547,1,312.6673434946756,101,0.02394917042724681,0.0963265306122449,520.2971080834409,351.2049937712342,888.4819437898782,77.0501708984375,2.164893566103125,0.5620966392609046,0.9463978409767151,0.029912356287240982,0.02368979901075363,0.004234784748405218,0.2755904793739319,0.582449197769165,0.08412335067987442,0.01680881157517433,0.008569523692131042,0.0020171848591417074,0.0011448462028056383,0.0013719891430810094,0.001568476902320981,0.0013085635146126151,0.008161664940416813,0.009999118745326996,0.0013422531774267554,0.00047182184061966836,0.0002788020938169211,0.0003772747877519578,0.00016229695756919682,1.952822094608564e-05,0.02506250063660676,401,58,46,9,18,2,1,3,2,1,1,2,1,27,85,3,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4307306965776865,10.68748920234785,677
00-250527-2226.wav,2025-05-27 Night,2025-05-27,night,n,Spring,90,31.3,5.9,258,0.37397050857543945,-13.293209075927734,8.163469314575195,4,700.5842431428122,95,0.026926363527867286,0.1926530612244898,526.0392663034864,351.66286307495375,906.0432451783643,82.5480728149414,2.139000758213018,0.5849712795366762,0.9237626791000366,0.03252818435430527,0.04370913282036781,0.004335369914770126,0.24447591602802277,0.58438640832901,0.0905650407075882,0.017491415143013,0.009696885012090206,0.002270391909405589,0.001310667721554637,0.0017588234040886164,0.0018611724954098463,0.0015693060122430325,0.01837735064327717,0.01661132276058197,0.002112799324095249,0.0015813844511285424,0.0006141102057881653,0.00040669870213605464,0.0002872439508792013,0.0002877442166209221,0.024629042169963252,401,58,46,9,18,2,1,3,2,1,1,2,1,27,85,3,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4307306965776865,10.68748920234785,677
